id,qr_code_url,machine_id,is_used,created_at
91,qrcodes/qr_91.png,,f,2025-04-22 09:47:07.488363+03
92,qrcodes/qr_92.png,,f,2025-04-22 09:47:07.498429+03
93,qrcodes/qr_93.png,,f,2025-04-22 09:47:07.508161+03
94,qrcodes/qr_94.png,,f,2025-04-22 09:47:07.517231+03
95,qrcodes/qr_95.png,,f,2025-04-22 09:47:07.527261+03
96,qrcodes/qr_96.png,,f,2025-04-22 09:47:07.53728+03
97,qrcodes/qr_97.png,,f,2025-04-22 09:47:07.546028+03
98,qrcodes/qr_98.png,,f,2025-04-22 09:47:07.554853+03
99,qrcodes/qr_99.png,,f,2025-04-22 09:47:07.563883+03
100,qrcodes/qr_100.png,,f,2025-04-22 09:47:07.572877+03
101,qrcodes/qr_101.png,,f,2025-04-22 09:47:07.581736+03
102,qrcodes/qr_102.png,,f,2025-04-22 09:47:07.590731+03
103,qrcodes/qr_103.png,,f,2025-04-22 09:47:07.600122+03
104,qrcodes/qr_104.png,,f,2025-04-22 09:47:07.60953+03
105,qrcodes/qr_105.png,,f,2025-04-22 09:47:07.617926+03
106,qrcodes/qr_106.png,,f,2025-04-22 09:47:07.626934+03
107,qrcodes/qr_107.png,,f,2025-04-22 09:47:07.635726+03
108,qrcodes/qr_108.png,,f,2025-04-22 09:47:07.644256+03
109,qrcodes/qr_109.png,,f,2025-04-22 09:47:07.653028+03
110,qrcodes/qr_110.png,,f,2025-04-22 09:47:07.662075+03
111,qrcodes/qr_111.png,,f,2025-04-22 09:47:07.670865+03
112,qrcodes/qr_112.png,,f,2025-04-22 09:47:07.680182+03
113,qrcodes/qr_113.png,,f,2025-04-22 09:47:07.68912+03
114,qrcodes/qr_114.png,,f,2025-04-22 09:47:07.69801+03
115,qrcodes/qr_115.png,,f,2025-04-22 09:47:07.707099+03
116,qrcodes/qr_116.png,,f,2025-04-22 09:47:07.715997+03
117,qrcodes/qr_117.png,,f,2025-04-22 09:47:07.72457+03
118,qrcodes/qr_118.png,,f,2025-04-22 09:47:07.73351+03
119,qrcodes/qr_119.png,,f,2025-04-22 09:47:07.743331+03
120,qrcodes/qr_120.png,,f,2025-04-22 09:47:07.752054+03
121,qrcodes/qr_121.png,,f,2025-04-22 09:47:07.761173+03
122,qrcodes/qr_122.png,,f,2025-04-22 09:47:07.773506+03
123,qrcodes/qr_123.png,,f,2025-04-22 09:47:07.786763+03
124,qrcodes/qr_124.png,,f,2025-04-22 09:47:07.798754+03
125,qrcodes/qr_125.png,,f,2025-04-22 09:47:07.807427+03
126,qrcodes/qr_126.png,,f,2025-04-22 09:47:07.817276+03
127,qrcodes/qr_127.png,,f,2025-04-22 09:47:07.827589+03
128,qrcodes/qr_128.png,,f,2025-04-22 09:47:07.837737+03
129,qrcodes/qr_129.png,,f,2025-04-22 09:47:07.846482+03
130,qrcodes/qr_130.png,,f,2025-04-22 09:47:07.85575+03
131,qrcodes/qr_131.png,,f,2025-04-22 09:47:07.864813+03
132,qrcodes/qr_132.png,,f,2025-04-22 09:47:07.873446+03
133,qrcodes/qr_133.png,,f,2025-04-22 09:47:07.882563+03
134,qrcodes/qr_134.png,,f,2025-04-22 09:47:07.891516+03
135,qrcodes/qr_135.png,,f,2025-04-22 09:47:07.89995+03
136,qrcodes/qr_136.png,,f,2025-04-22 09:47:07.909176+03
137,qrcodes/qr_137.png,,f,2025-04-22 09:47:07.9179+03
138,qrcodes/qr_138.png,,f,2025-04-22 09:47:07.927193+03
139,qrcodes/qr_139.png,,f,2025-04-22 09:47:07.936349+03
140,qrcodes/qr_140.png,,f,2025-04-22 09:47:07.944777+03
141,qrcodes/qr_141.png,,f,2025-04-22 09:47:07.953434+03
142,qrcodes/qr_142.png,,f,2025-04-22 09:47:07.962524+03
143,qrcodes/qr_143.png,,f,2025-04-22 09:47:07.971407+03
144,qrcodes/qr_144.png,,f,2025-04-22 09:47:07.979974+03
145,qrcodes/qr_145.png,,f,2025-04-22 09:47:07.989159+03
146,qrcodes/qr_146.png,,f,2025-04-22 09:47:07.998158+03
147,qrcodes/qr_147.png,,f,2025-04-22 09:47:08.006585+03
148,qrcodes/qr_148.png,,f,2025-04-22 09:47:08.015516+03
149,qrcodes/qr_149.png,,f,2025-04-22 09:47:08.024219+03
150,qrcodes/qr_150.png,,f,2025-04-22 09:47:08.03379+03
151,qrcodes/qr_151.png,,f,2025-04-22 09:47:08.045601+03
152,qrcodes/qr_152.png,,f,2025-04-22 09:47:08.055927+03
